Dalvik/2.1.0 (Linux; U; Android 5.0; ASUS_Z017 Build/TMAYU1QN) [FBAN/FB4A; FBAV/104.0.0.68.1 FBBV/7232729 FBDM={density=3.0,width=783,height=667} FBLC/zh_TW FBRV/1371495 FBCR/T-Mobile FBMF/ASUS FBBD/ASUS FBPN/com.facebook.katana FBDV/ASUS_Z017 FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Mate 20 Pro Build/B0SK6QC5) [FBAN/FB4A; FBAV/82.0.0.72.63 FBBV/9452900 FBDM={density=3.0,width=551,height=1552} FBLC/it_IT FBRV/7326630 FBCR/Telecom FBMF/Huawei FBBD/Huawei FBPN/com.facebook.katana FBDV/Mate 20 Pro FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 4.2.2; SM-G973F Build/H3ITKI3U) [FBAN/FB4A; FBAV/118.0.0.81.68 FBBV/876190 FBDM={density=3.0,width=978,height=773} FBLC/pt_BR FBRV/7428934 FBCR/Sprint FBMF/Samsung FBBD/Samsung FBPN/com.facebook.katana FBDV/SM-G973F FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 8.0; Mi 10T Pro Build/L8LAML86) [FBAN/FB4A; FBAV/120.0.0.81.17 FBBV/9874726 FBDM={density=3.0,width=540,height=876} FBLC/es_ES FBRV/7626927 FBCR/Verizon FBMF/Xiaomi FBBD/Xiaomi FBPN/com.facebook.katana FBDV/Mi 10T Pro FBSV/8.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 7.0; Xperia 10 Build/D9CW7WBS) [FBAN/FB4A; FBAV/89.0.0.26.79 FBBV/1401513 FBDM={density=3.0,width=408,height=842} FBLC/ko_KR FBRV/257995 FBCR/AT&T FBMF/Sony FBBD/Sony FBPN/com.facebook.katana FBDV/Xperia 10 FBSV/7.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 6.0; Pixel 5a Build/IKHP4BAA) [FBAN/FB4A; FBAV/119.0.0.64.74 FBBV/2943243 FBDM={density=3.0,width=448,height=1348} FBLC/de_DE FBRV/1811463 FBCR/Orange FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 5a FBSV/6.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 10.0; Mi 9T Build/WRWIQI22) [FBAN/FB4A; FBAV/87.0.0.22.6 FBBV/6088884 FBDM={density=3.0,width=1031,height=936} FBLC/pt_BR FBRV/1379724 FBCR/Vodafone FBMF/Xiaomi FBBD/Xiaomi FBPN/com.facebook.katana FBDV/Mi 9T FBSV/10.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 12.0; SM-G973F Build/N81SB6U4) [FBAN/FB4A; FBAV/91.0.0.58.9 FBBV/5614082 FBDM={density=3.0,width=360,height=1102} FBLC/zh_CN FBRV/5094683 FBCR/Boost Mobile FBMF/Samsung FBBD/Samsung FBPN/com.facebook.katana FBDV/SM-G973F FBSV/12.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 5.0; SM-A127F Build/P2LJ932E) [FBAN/FB4A; FBAV/93.0.0.10.10 FBBV/2350301 FBDM={density=3.0,width=801,height=1006} FBLC/es_ES FBRV/4674522 FBCR/Telecom FBMF/Samsung FBBD/Samsung FBPN/com.facebook.katana FBDV/SM-A127F FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 4.2.2; Pixel 5a Build/3114PE0E) [FBAN/FB4A; FBAV/115.0.0.58.84 FBBV/3277530 FBDM={density=3.0,width=370,height=1075} FBLC/zh_TW FBRV/6059661 FBCR/Sprint FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 5a FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 6.0; Pixel 6 Pro Build/QUM9BN0Q) [FBAN/FB4A; FBAV/84.0.0.36.54 FBBV/7635099 FBDM={density=3.0,width=957,height=1186} FBLC/en_US FBRV/2372240 FBCR/Verizon FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 6 Pro FBSV/6.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 10.0; SM-A528B Build/YEH6KZSC) [FBAN/FB4A; FBAV/109.0.0.71.65 FBBV/7101962 FBDM={density=3.0,width=623,height=645} FBLC/ja_JP FBRV/4549962 FBCR/Verizon FBMF/Samsung FBBD/Samsung FBPN/com.facebook.katana FBDV/SM-A528B FBSV/10.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 5.0; Pixel 5a Build/VSFE6N3Q) [FBAN/FB4A; FBAV/111.0.0.95.62 FBBV/2423506 FBDM={density=3.0,width=459,height=1630} FBLC/it_IT FBRV/6838107 FBCR/T-Mobile FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 5a FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 10.0; Pixel 4a Build/0Y8RS22S) [FBAN/FB4A; FBAV/88.0.0.31.85 FBBV/4590425 FBDM={density=3.0,width=1021,height=1721} FBLC/de_DE FBRV/6558121 FBCR/Vodafone FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 4a FBSV/10.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 11.0; LM-G820 Build/4Q3ZLHJ3) [FBAN/FB4A; FBAV/110.0.0.30.1 FBBV/288816 FBDM={density=3.0,width=433,height=907} FBLC/it_IT FBRV/1623183 FBCR/Sprint FBMF/LG FBBD/LG FBPN/com.facebook.katana FBDV/LM-G820 FBSV/11.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 7.0; Pixel 4a Build/CD4EP0AR) [FBAN/FB4A; FBAV/99.0.0.95.28 FBBV/7167025 FBDM={density=3.0,width=1019,height=1802} FBLC/ko_KR FBRV/8932004 FBCR/Verizon FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 4a FBSV/7.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 9.0; Pixel 5a Build/1RUKJJ5L) [FBAN/FB4A; FBAV/83.0.0.24.5 FBBV/5038091 FBDM={density=3.0,width=427,height=1018} FBLC/pt_BR FBRV/6931735 FBCR/Vodafone FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 5a FBSV/9.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 6.0; Moto G Stylus Build/RI84HCBB) [FBAN/FB4A; FBAV/110.0.0.55.23 FBBV/6439004 FBDM={density=3.0,width=777,height=1437} FBLC/zh_TW FBRV/8058589 FBCR/Sprint FBMF/Motorola FBBD/Motorola FBPN/com.facebook.katana FBDV/Moto G Stylus FBSV/6.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 12.0; Mi 10T Pro Build/8YVAF2CK) [FBAN/FB4A; FBAV/120.0.0.100.13 FBBV/8763966 FBDM={density=3.0,width=365,height=1544} FBLC/en_US FBRV/462392 FBCR/Verizon FBMF/Xiaomi FBBD/Xiaomi FBPN/com.facebook.katana FBDV/Mi 10T Pro FBSV/12.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 7.0; V2007 Build/VR51HUNH) [FBAN/FB4A; FBAV/92.0.0.56.64 FBBV/3201051 FBDM={density=3.0,width=380,height=1317} FBLC/zh_CN FBRV/5460875 FBCR/T-Mobile FBMF/Vivo FBBD/Vivo FBPN/com.facebook.katana FBDV/V2007 FBSV/7.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 6.0; Moto G Play Build/7EUSUFKM) [FBAN/FB4A; FBAV/116.0.0.86.64 FBBV/5109434 FBDM={density=3.0,width=690,height=1874} FBLC/es_ES FBRV/5907475 FBCR/Vodafone FBMF/Motorola FBBD/Motorola FBPN/com.facebook.katana FBDV/Moto G Play FBSV/6.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 4.2.2; SM-A127F Build/RVXHOKP0) [FBAN/FB4A; FBAV/83.0.0.29.15 FBBV/3537232 FBDM={density=3.0,width=1024,height=1340} FBLC/pt_BR FBRV/4964925 FBCR/Vodafone FBMF/Samsung FBBD/Samsung FBPN/com.facebook.katana FBDV/SM-A127F FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 8.0; Pixel 5a Build/PGTTBHB6) [FBAN/FB4A; FBAV/116.0.0.48.16 FBBV/9048766 FBDM={density=3.0,width=780,height=1256} FBLC/de_DE FBRV/9434686 FBCR/Verizon FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 5a FBSV/8.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 4.2.2; CPH2147 Build/637OEDME) [FBAN/FB4A; FBAV/98.0.0.80.1 FBBV/8109723 FBDM={density=3.0,width=798,height=1497} FBLC/zh_CN FBRV/3417985 FBCR/AT&T FBMF/OPPO FBBD/OPPO FBPN/com.facebook.katana FBDV/CPH2147 FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 9.0; Xperia 10 Build/N8YKC48P) [FBAN/FB4A; FBAV/119.0.0.22.62 FBBV/9458110 FBDM={density=3.0,width=489,height=868} FBLC/zh_CN FBRV/456324 FBCR/O2 FBMF/Sony FBBD/Sony FBPN/com.facebook.katana FBDV/Xperia 10 FBSV/9.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 12.0; V2072 Build/9B76HDKU) [FBAN/FB4A; FBAV/82.0.0.25.62 FBBV/4739561 FBDM={density=3.0,width=869,height=658} FBLC/zh_CN FBRV/6516010 FBCR/Verizon FBMF/Vivo FBBD/Vivo FBPN/com.facebook.katana FBDV/V2072 FBSV/12.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 8.0; LM-K500 Build/JS7JNXO6) [FBAN/FB4A; FBAV/101.0.0.83.29 FBBV/9905099 FBDM={density=3.0,width=1028,height=1262} FBLC/it_IT FBRV/2434246 FBCR/T-Mobile FBMF/LG FBBD/LG FBPN/com.facebook.katana FBDV/LM-K500 FBSV/8.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 8.0; ASUS_Z017 Build/35Y0E8DR) [FBAN/FB4A; FBAV/108.0.0.89.70 FBBV/1553949 FBDM={density=3.0,width=445,height=1613} FBLC/pt_BR FBRV/1618848 FBCR/T-Mobile FBMF/ASUS FBBD/ASUS FBPN/com.facebook.katana FBDV/ASUS_Z017 FBSV/8.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 7.0; Pixel 6 Build/RIP3D7EQ) [FBAN/FB4A; FBAV/82.0.0.51.41 FBBV/8053400 FBDM={density=3.0,width=851,height=1863} FBLC/de_DE FBRV/286203 FBCR/Boost Mobile FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 6 FBSV/7.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 8.0; ASUS_Z012 Build/SM1VN4BH) [FBAN/FB4A; FBAV/88.0.0.16.40 FBBV/5731512 FBDM={density=3.0,width=466,height=1651} FBLC/zh_CN FBRV/3863758 FBCR/Vodafone FBMF/ASUS FBBD/ASUS FBPN/com.facebook.katana FBDV/ASUS_Z012 FBSV/8.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 5.0; SM-N975F Build/A7L0WWU1) [FBAN/FB4A; FBAV/119.0.0.64.14 FBBV/6964789 FBDM={density=3.0,width=557,height=1210} FBLC/ko_KR FBRV/767012 FBCR/Verizon FBMF/Samsung FBBD/Samsung FBPN/com.facebook.katana FBDV/SM-N975F FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 11.0; Pixel 6 Pro Build/JNAT9ITN) [FBAN/FB4A; FBAV/90.0.0.40.79 FBBV/4446854 FBDM={density=3.0,width=511,height=1773} FBLC/es_ES FBRV/2595918 FBCR/Vodafone FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 6 Pro FBSV/11.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 11.0; Mi 10T Pro Build/NPSSQ8KH) [FBAN/FB4A; FBAV/118.0.0.26.48 FBBV/8385546 FBDM={density=3.0,width=593,height=1653} FBLC/ja_JP FBRV/5372543 FBCR/Sprint FBMF/Xiaomi FBBD/Xiaomi FBPN/com.facebook.katana FBDV/Mi 10T Pro FBSV/11.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 7.0; Pixel 6 Build/FHZY18W8) [FBAN/FB4A; FBAV/110.0.0.56.82 FBBV/5875977 FBDM={density=3.0,width=563,height=1771} FBLC/zh_CN FBRV/4522350 FBCR/T-Mobile FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 6 FBSV/7.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 4.2.2; Xperia 5 II Build/Y5N6KFYJ) [FBAN/FB4A; FBAV/105.0.0.90.78 FBBV/8114762 FBDM={density=3.0,width=938,height=958} FBLC/es_ES FBRV/5120143 FBCR/Orange FBMF/Sony FBBD/Sony FBPN/com.facebook.katana FBDV/Xperia 5 II FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 6.0; Moto G Power Build/DNCIN8YN) [FBAN/FB4A; FBAV/83.0.0.24.17 FBBV/9198481 FBDM={density=3.0,width=515,height=1806} FBLC/zh_TW FBRV/8511562 FBCR/Orange FBMF/Motorola FBBD/Motorola FBPN/com.facebook.katana FBDV/Moto G Power FBSV/6.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 4.2.2; SM-A127F Build/T91XPLY8) [FBAN/FB4A; FBAV/116.0.0.43.87 FBBV/3671355 FBDM={density=3.0,width=608,height=1069} FBLC/es_ES FBRV/7062638 FBCR/O2 FBMF/Samsung FBBD/Samsung FBPN/com.facebook.katana FBDV/SM-A127F FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 5.0; Pixel 6 Build/6AZE5BEY) [FBAN/FB4A; FBAV/106.0.0.57.35 FBBV/6295373 FBDM={density=3.0,width=690,height=1852} FBLC/de_DE FBRV/8284745 FBCR/Verizon FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 6 FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 5.0; Moto G Play Build/H0C1RFYM) [FBAN/FB4A; FBAV/98.0.0.88.52 FBBV/5690037 FBDM={density=3.0,width=711,height=659} FBLC/ja_JP FBRV/7246194 FBCR/Boost Mobile FBMF/Motorola FBBD/Motorola FBPN/com.facebook.katana FBDV/Moto G Play FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 5.0; LM-G820 Build/U7UPWEWU) [FBAN/FB4A; FBAV/97.0.0.93.93 FBBV/2443347 FBDM={density=3.0,width=499,height=1550} FBLC/ko_KR FBRV/4348859 FBCR/Vodafone FBMF/LG FBBD/LG FBPN/com.facebook.katana FBDV/LM-G820 FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 8.0; Xperia 10 IV Build/BJB7NM4G) [FBAN/FB4A; FBAV/97.0.0.12.4 FBBV/6679457 FBDM={density=3.0,width=366,height=1566} FBLC/en_US FBRV/4364779 FBCR/Vodafone FBMF/Sony FBBD/Sony FBPN/com.facebook.katana FBDV/Xperia 10 IV FBSV/8.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 12.0; Mate 20 Pro Build/X5FVWMA8) [FBAN/FB4A; FBAV/112.0.0.1.28 FBBV/956159 FBDM={density=3.0,width=489,height=1304} FBLC/en_US FBRV/5695695 FBCR/T-Mobile FBMF/Huawei FBBD/Huawei FBPN/com.facebook.katana FBDV/Mate 20 Pro FBSV/12.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 5.0; Moto G Play Build/DBQ0VPDY) [FBAN/FB4A; FBAV/94.0.0.83.11 FBBV/81230 FBDM={density=3.0,width=634,height=1822} FBLC/en_US FBRV/4952661 FBCR/Sprint FBMF/Motorola FBBD/Motorola FBPN/com.facebook.katana FBDV/Moto G Play FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 8.0; Xperia 10 Build/XJLWJT4X) [FBAN/FB4A; FBAV/107.0.0.62.50 FBBV/5599249 FBDM={density=3.0,width=1017,height=1550} FBLC/zh_CN FBRV/8374412 FBCR/O2 FBMF/Sony FBBD/Sony FBPN/com.facebook.katana FBDV/Xperia 10 FBSV/8.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 8.0; SM-A127F Build/2PK3PJX2) [FBAN/FB4A; FBAV/98.0.0.12.7 FBBV/4006590 FBDM={density=3.0,width=878,height=1253} FBLC/it_IT FBRV/3948502 FBCR/Verizon FBMF/Samsung FBBD/Samsung FBPN/com.facebook.katana FBDV/SM-A127F FBSV/8.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 11.0; V2007 Build/NM0VNJZ8) [FBAN/FB4A; FBAV/91.0.0.39.8 FBBV/918616 FBDM={density=3.0,width=793,height=897} FBLC/ja_JP FBRV/6945464 FBCR/Sprint FBMF/Vivo FBBD/Vivo FBPN/com.facebook.katana FBDV/V2007 FBSV/11.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 11.0; Pixel 4a Build/A2BEJCY1) [FBAN/FB4A; FBAV/88.0.0.97.76 FBBV/6022358 FBDM={density=3.0,width=942,height=941} FBLC/es_ES FBRV/2068833 FBCR/Sprint FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 4a FBSV/11.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 8.0; Moto G Play Build/X30V9IOF) [FBAN/FB4A; FBAV/104.0.0.68.48 FBBV/5314262 FBDM={density=3.0,width=741,height=878} FBLC/it_IT FBRV/5208192 FBCR/Telecom FBMF/Motorola FBBD/Motorola FBPN/com.facebook.katana FBDV/Moto G Play FBSV/8.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 6.0; SM-G973F Build/4JTGEJLV) [FBAN/FB4A; FBAV/113.0.0.31.68 FBBV/2046220 FBDM={density=3.0,width=862,height=1266} FBLC/ja_JP FBRV/5858697 FBCR/O2 FBMF/Samsung FBBD/Samsung FBPN/com.facebook.katana FBDV/SM-G973F FBSV/6.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 10.0; Pixel 6 Build/XWXTMYJI) [FBAN/FB4A; FBAV/110.0.0.11.45 FBBV/2052905 FBDM={density=3.0,width=1030,height=1446} FBLC/en_US FBRV/463072 FBCR/T-Mobile FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 6 FBSV/10.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 10.0; SM-G973F Build/HPZM699M) [FBAN/FB4A; FBAV/112.0.0.2.94 FBBV/924468 FBDM={density=3.0,width=898,height=709} FBLC/de_DE FBRV/3635470 FBCR/Boost Mobile FBMF/Samsung FBBD/Samsung FBPN/com.facebook.katana FBDV/SM-G973F FBSV/10.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 12.0; Nova 5T Build/NEDZEZX5) [FBAN/FB4A; FBAV/108.0.0.59.59 FBBV/7170243 FBDM={density=3.0,width=865,height=782} FBLC/de_DE FBRV/5417931 FBCR/Sprint FBMF/Huawei FBBD/Huawei FBPN/com.facebook.katana FBDV/Nova 5T FBSV/12.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 11.0; ASUS_Z010 Build/NX6JBQJ3) [FBAN/FB4A; FBAV/115.0.0.27.39 FBBV/5773370 FBDM={density=3.0,width=534,height=877} FBLC/zh_TW FBRV/5991510 FBCR/Boost Mobile FBMF/ASUS FBBD/ASUS FBPN/com.facebook.katana FBDV/ASUS_Z010 FBSV/11.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 11.0; Nova 5T Build/BNB5VRQO) [FBAN/FB4A; FBAV/80.0.0.6.50 FBBV/2034218 FBDM={density=3.0,width=922,height=1501} FBLC/de_DE FBRV/9174543 FBCR/T-Mobile FBMF/Huawei FBBD/Huawei FBPN/com.facebook.katana FBDV/Nova 5T FBSV/11.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 4.2.2; LM-G820 Build/6YXBRA7H) [FBAN/FB4A; FBAV/84.0.0.19.68 FBBV/5641334 FBDM={density=3.0,width=531,height=1697} FBLC/zh_CN FBRV/1179840 FBCR/Sprint FBMF/LG FBBD/LG FBPN/com.facebook.katana FBDV/LM-G820 FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 6.0; V2072 Build/RTS7W0S0) [FBAN/FB4A; FBAV/83.0.0.28.48 FBBV/6970174 FBDM={density=3.0,width=669,height=1317} FBLC/fr_FR FBRV/8620828 FBCR/T-Mobile FBMF/Vivo FBBD/Vivo FBPN/com.facebook.katana FBDV/V2072 FBSV/6.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 4.2.2; Xperia 1 II Build/NTHINBZ2) [FBAN/FB4A; FBAV/104.0.0.43.42 FBBV/9505610 FBDM={density=3.0,width=444,height=1890} FBLC/pt_BR FBRV/6136515 FBCR/Sprint FBMF/Sony FBBD/Sony FBPN/com.facebook.katana FBDV/Xperia 1 II FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
